,Customer_ID,Transaction_ID,Product,Sales_Amount,Quantity,SKU
45,2826,109,turkey,12.5,1.0,ODYUV
46,7443,113,canned fish,25.62,1.0,BP4WV
47,4839,114,dish cleaner,3.34,1.0,MRE4J
48,1659,116,sugar,25.16,1.0,L81FM
49,4817,119,frozen vegetables,20.75,1.0,61YKF
50,7126,120,detergent,11.46,1.0,7GQRJ
51,1577,121,canned vegetables,10.5,1.0,Y2U6K
52,1614,124,fruit/vegetable juice,5.32,1.0,E7DJL
53,6901,126,house keeping products,5.79,1.0,JJ9FT
54,6045,133,pasta,1.97,1.0,53UL8
55,5778,139,pork,8.69,1.0,Q8411
56,131,142,butter,16.8,1.0,JO2C3
57,2223,147,ham,14.6,1.0,UFYM3
58,6854,150,mustard,12.33,1.0,N0RAF
59,6854,150,cream,13.18,1.0,PQ7MM
60,4775,151,mustard,8.37,1.0,YZ7ZS
61,2422,154,fruit/vegetable juice,6.21,1.0,NPV8G
62,8553,155,fruit/vegetable juice,10.98,1.0,M4TM4
63,8553,155,detergent,10.9,1.0,MYO3P
64,6504,156,fruit/vegetable juice,6.35,1.0,536VK
65,8907,157,dish cleaner,2.68,1.0,S7QET
66,3724,159,detergent,11.46,1.0,7GQRJ
67,1762,160,mustard,8.46,1.0,GUFMQ
68,1762,160,dessert,3.62,1.0,7X6ZN
69,3837,163,fruit/vegetable juice,6.35,1.0,536VK
70,8417,167,canned vegetables,11.25,1.0,LC2AI
71,1894,168,dish cleaner,10.56,1.0,967JZ
72,8308,169,house keeping products,5.18,1.0,WG7HI
73,3695,170,house keeping products,9.5,1.0,T4T9J
74,7077,172,ready soups,11.18,2.0,UCK6F
75,2057,178,house keeping products,5.12,1.0,H8LCU
76,4022,180,cream,22.18,1.0,8KNYA
77,100,181,house keeping products,8.32,1.0,3QNEE
78,7002,183,detergent,10.43,1.0,U6GWD
79,3524,184,fruit/vegetable juice,10.98,1.0,M4TM4
80,2340,189,fruit/vegetable juice,10.98,1.0,M4TM4
81,9157,199,sugar,30.87,1.0,OQCLK
82,6325,204,detergent,6.54,1.0,MGNU4
83,7945,205,house keeping products,10.57,1.0,GQH4S
84,3645,209,turkey,18.32,1.0,3RJ5R
85,8356,211,mustard,8.37,1.0,YZ7ZS
86,8858,212,margarine,8.1,1.0,BDD5Z
87,8858,212,spices,5.73,2.0,BLH3I
88,8858,212,decalcifier,2.68,1.0,MM77N
89,8858,212,berries,8.29,1.0,I1JEE
90,8858,212,other vegetables,43.3,2.0,LJ26I
91,8858,212,other vegetables,10.37,1.0,81B39
92,5475,214,Instant food products,2.15,1.0,5TPXK
93,5475,214,dessert,8.18,1.0,VGIW5
94,5475,214,margarine,25.77,2.0,KE0PX
95,5475,214,Instant food products,27.8,2.0,OUC6J
96,3530,217,mustard,24.42,3.0,9R1GN
97,1863,218,pasta,4.0,1.0,AYAJU
98,1863,218,ketchup,2.84,1.0,S79EQ
99,1863,218,spices,7.77,2.0,I1PEZ
100,3006,219,pudding powder,24.63,3.0,ERYF4
101,8636,222,house keeping products,7.71,1.0,AOM3I
102,3543,223,fruit/vegetable juice,10.98,1.0,M4TM4
103,3543,223,cream,10.25,1.0,2517R
104,6192,225,flower soil/fertilizer,27.08,1.0,XEP2E
105,6192,225,house keeping products,9.4,1.0,PN14V
106,6192,225,dish cleaner,10.12,1.0,MWOXV
107,6723,230,margarine,16.2,2.0,BDD5Z
108,6723,230,decalcifier,6.75,1.0,69PF4
109,2822,231,house keeping products,5.79,1.0,JJ9FT
110,4815,232,other vegetables,29.31,1.0,O8BRA
111,4815,232,margarine,31.41,2.0,MHPLR
112,4815,232,sauces,4.19,1.0,SRZBJ
113,3344,233,ready soups,11.18,2.0,UCK6F
114,6843,234,citrus fruit,3.1,1.0,0CSPY
115,8008,236,house keeping products,8.25,1.0,81AIS
116,8635,239,mustard,8.37,1.0,YZ7ZS
117,8635,239,pasta,10.44,1.0,E3WCF
118,176,242,dish cleaner,2.68,1.0,S7QET
119,5984,243,mustard,16.27,2.0,9R1GN
120,5984,243,house keeping products,6.75,1.0,4DJ5Q
121,274,244,dessert,7.73,2.0,W1ZMG
122,274,244,specialty fat,29.59,1.0,KK3R7
123,274,244,pet care,12.87,1.0,DWJC4
124,8780,245,berries,5.5,2.0,09LL9
125,3290,250,house keeping products,11.75,1.0,TMW2A
126,2811,251,flower soil/fertilizer,22.38,1.0,ULY8T
127,6670,255,butter,9.07,2.0,MBQ30
128,6670,255,chicken,40.72,1.0,AH0E0
129,6670,255,chicken,30.3,2.0,0LCSZ
130,5449,256,cream,11.94,1.0,M3T80
131,5241,259,berries,13.88,1.0,IST2P
132,5241,259,pip fruit,6.12,1.0,DPNWZ
133,2237,261,mustard,5.04,1.0,U6H2A
134,2237,261,butter,92.39,1.0,MYDIB
135,2237,261,tidbits,22.53,1.0,DCKPW
136,477,262,salt,22.88,1.0,UADWD
137,477,262,dish cleaner,34.06,1.0,3W011
138,3206,265,pasta,21.34,1.0,ZE55T
139,8800,266,citrus fruit,3.1,1.0,0CSPY
140,3206,268,spices,8.98,1.0,GGYTB
141,3206,268,other vegetables,8.4,1.0,I46EJ
142,3206,268,margarine,7.67,2.0,J8DD7
143,3206,268,ketchup,2.84,1.0,S79EQ
144,3206,268,margarine,7.41,1.0,PQUFN
145,3206,268,pasta,9.75,1.0,GB9RX
146,5038,271,house keeping products,8.25,1.0,81AIS
147,5038,271,fruit/vegetable juice,17.68,1.0,S1CPK
148,651,272,mustard,6.87,2.0,GHG1T
149,651,272,dish cleaner,4.06,1.0,9TF6B
150,7343,273,fruit/vegetable juice,4.54,1.0,E7DJL
151,7343,273,detergent,2.43,1.0,IP6VW
152,6353,274,house keeping products,6.35,1.0,2NYLG
153,5367,275,ready soups,20.13,1.0,FZV44
154,2762,277,tidbits,36.22,1.0,IRQZ4
155,8745,278,dish cleaner,19.0,1.0,11H2S
156,2071,280,house keeping products,9.21,1.0,627TX
157,2071,280,house keeping products,11.0,1.0,9UYK8
158,2071,280,house keeping products,9.5,1.0,T4T9J
159,6854,281,meat spreads,19.44,1.0,3CMFR
160,5541,282,preservation products,62.16,1.0,4BYOU
161,5541,282,decalcifier,9.42,1.0,0OZBT
162,5541,282,preservation products,14.0,1.0,Q5PL4
163,5939,284,cream,6.38,1.0,3FFTG
164,7340,286,male cosmetics,5.91,1.0,TA8I5
165,6809,287,whole milk,24.69,5.0,BSUIE
166,6809,287,whole milk,24.69,5.0,BZL5V
167,5175,289,fruit/vegetable juice,6.35,1.0,536VK
168,4372,292,canned vegetables,12.21,1.0,GUNTP
169,4372,292,dish cleaner,9.06,1.0,EWQRX
170,4604,293,house keeping products,5.79,1.0,JJ9FT
171,4604,293,house keeping products,6.35,1.0,2NYLG
172,1211,297,mustard,8.14,1.0,9R1GN
173,3481,298,pork,5.62,1.0,UM9G8
174,94,299,ready soups,9.69,1.0,6JED4
175,94,299,ready soups,8.5,1.0,89U3Y
176,9375,300,citrus fruit,25.83,1.0,0ISQE
177,5339,302,berries,3.46,1.0,4L6WG
178,7613,304,preservation products,13.44,1.0,EV6K0
179,6242,307,pasta,6.25,1.0,LI0IX
180,6242,307,tidbits,29.37,1.0,X6WYL
181,6242,307,sauces,4.19,1.0,SRZBJ
182,3802,309,berries,12.23,2.0,QKVBK
183,167,313,margarine,17.1,1.0,GQ4V9
184,3989,314,canned beer,31.07,1.0,3N5OU
185,4707,316,tropical fruit,22.91,60.0,BBC93
186,4707,316,ready soups,11.18,2.0,UCK6F
187,2367,317,pet care,12.87,1.0,DWJC4
188,2367,317,pudding powder,3.42,1.0,Q1NXK
189,2246,322,detergent,7.15,1.0,7ZDL5
190,6075,324,fruit/vegetable juice,14.05,1.0,CTN07
191,289,325,dish cleaner,7.44,1.0,ISNFA
192,4994,326,dish cleaner,3.93,1.0,53F9W
193,4994,326,pip fruit,9.87,1.0,X4VJT
194,8022,328,dish cleaner,8.37,1.0,F2HBX
195,2547,332,dish cleaner,12.69,1.0,MM3E0
196,1082,337,soda,10.04,1.0,3ME99
197,1082,337,soda,38.59,1.0,5QWIK
198,7795,340,flower soil/fertilizer,11.88,1.0,HXE7H
199,2444,344,skin care,57.73,2.0,29GV1
200,7232,345,margarine,5.88,1.0,MEWW0
201,7232,345,butter,31.77,1.0,3YDVF
202,2572,349,cream,6.69,1.0,Y8V8J
203,627,350,chicken,10.23,1.0,10GUU
204,7937,352,fruit/vegetable juice,10.98,1.0,M4TM4
205,2417,354,dish cleaner,6.68,2.0,MRE4J
206,2490,356,margarine,3.68,1.0,CYAX0
207,8615,357,cream,22.18,1.0,8KNYA
208,9360,360,dish cleaner,7.29,1.0,7FGIM
209,8079,364,other vegetables,25.2,3.0,I46EJ
210,8079,364,ketchup,32.05,1.0,ML051
211,7902,366,pasta,6.25,1.0,LI0IX
212,8531,367,fruit/vegetable juice,6.35,1.0,536VK
213,2132,368,mustard,8.46,1.0,GUFMQ
214,2512,369,Instant food products,1.88,1.0,FWZEC
215,83,373,abrasive cleaner,13.1,1.0,8D73U
216,4956,377,detergent,6.54,1.0,MGNU4
217,4956,377,detergent,6.62,1.0,5W8HC
218,8514,384,spices,8.73,2.0,7TRXD
219,8514,384,decalcifier,12.46,2.0,XJUD6
220,8514,384,yogurt,6.07,1.0,C7BXU
221,8514,384,margarine,20.54,2.0,U6L1W
222,2531,385,ready soups,4.56,1.0,B8RA7
223,3746,386,house keeping products,8.25,1.0,81AIS
224,6070,387,spices,15.77,2.0,P6RR0
225,6070,387,spices,17.76,2.0,CTQEH
226,6070,387,spices,5.73,2.0,BLH3I
227,6070,387,berries,14.36,1.0,U1GN5
228,6070,387,decalcifier,13.56,1.0,4I1VS
229,6070,387,margarine,25.86,3.0,ZDER3
230,6070,387,Instant food products,25.37,1.0,GQA5Q
231,7440,391,margarine,24.3,3.0,BDD5Z
232,7440,391,spices,8.07,2.0,3GTLH
233,7440,391,spices,4.88,3.0,ZN9A0
234,5320,392,detergent,11.46,1.0,7GQRJ
235,7174,393,house keeping products,12.35,1.0,T0OVZ
236,339,396,citrus fruit,7.44,2.0,L3CHN
237,339,396,citrus fruit,2.79,1.0,367PT
238,5941,398,pasta,6.25,1.0,LI0IX
239,5941,398,dessert,3.85,1.0,W1ZMG
240,8909,400,detergent,11.25,1.0,AHF52
241,2843,401,berries,16.42,2.0,KGVRC
242,6788,403,fruit/vegetable juice,10.98,1.0,M4TM4
243,1493,404,cream,10.25,1.0,2517R
244,5179,405,margarine,12.06,2.0,6DVMD
245,2330,407,pasta,3.99,1.0,FDDWJ
246,1489,409,dish cleaner,8.88,1.0,GZOZ6
247,4214,410,dish cleaner,3.34,1.0,MRE4J
248,4214,410,detergent,11.25,1.0,AHF52
249,7013,411,dessert,7.71,2.0,W1ZMG
250,744,412,instant coffee,6.31,1.0,APEJQ
251,1630,414,dish cleaner,25.38,2.0,MM3E0
252,5288,417,house keeping products,6.75,1.0,62RSL
253,8435,421,pasta,6.25,1.0,LI0IX
254,8435,421,misc. beverages,4.12,1.0,3F0QP
255,8435,421,cream,4.3,1.0,ZUN8X
256,8435,421,pip fruit,10.94,1.0,9C9WA
257,6803,422,dish cleaner,3.34,1.0,MRE4J
258,5954,424,margarine,10.73,1.0,HCTMU
259,6448,426,pasta,3.44,1.0,N9B79
260,6448,426,soda,49.56,1.0,881OB
261,6448,426,UHT-milk,7.8,1.0,6DQIY
262,3100,428,skin care,13.66,1.0,7YBOX
263,6283,429,pet care,12.87,1.0,DWJC4
264,6283,429,spices,51.82,2.0,OJS5N
265,2443,431,chicken,67.64,2.0,7081I
266,2443,431,chicken,66.57,2.0,2GC0V
267,2443,431,dessert,13.17,2.0,7BXS6
268,2443,431,margarine,6.18,1.0,9F8O1
269,2443,431,margarine,7.37,2.0,CYAX0
270,5012,432,pasta,5.05,1.0,T4MAL
271,3704,433,detergent,5.38,1.0,3CUG7
272,1820,434,tidbits,36.22,1.0,IRQZ4
273,7191,435,house keeping products,16.91,1.0,F79YP
274,6986,437,margarine,15.86,1.0,92US4
275,6986,437,pet care,12.87,1.0,DWJC4
276,5475,443,dessert,9.81,1.0,KD9VU
277,3157,445,cream,10.25,1.0,2517R
278,2508,447,fruit/vegetable juice,6.35,1.0,536VK
279,2508,447,house keeping products,5.18,1.0,WG7HI
280,2508,447,house keeping products,12.21,1.0,ECUP5
281,2508,447,detergent,10.43,1.0,U6GWD
282,2508,447,dish cleaner,23.25,1.0,K67NA
283,9351,449,detergent,10.43,1.0,U6GWD
284,8907,451,pip fruit,17.68,1.0,00GVC
285,1945,453,margarine,11.48,1.0,5S43J
286,1945,453,pet care,25.74,2.0,DWJC4
287,1945,453,dish cleaner,3.34,1.0,MRE4J
288,263,456,fruit/vegetable juice,10.98,1.0,M4TM4
289,263,456,butter,63.54,2.0,3YDVF
290,6276,457,tidbits,36.22,1.0,IRQZ4
291,6276,457,margarine,25.86,3.0,ZDER3
292,6276,457,pet care,12.87,1.0,DWJC4
293,6276,457,cocoa drinks,15.15,1.0,2WKBS
294,7637,459,citrus fruit,4.4,1.0,4084G
295,5767,460,tropical fruit,30.16,28.0,TKGM0
296,350,462,ketchup,2.64,1.0,W14J3
297,5448,463,berries,13.58,3.0,CWB61
298,5448,463,spices,16.52,1.0,TIE11
299,5448,463,margarine,30.83,1.0,BA88U
300,5448,463,butter milk,246.47,2.0,SN48W
301,5286,465,detergent,11.65,1.0,YJTMP
302,5286,465,dish cleaner,4.88,1.0,2XXGI
303,4840,466,Instant food products,2.15,1.0,5TPXK
304,4840,466,soda,7.17,1.0,4FMP9
305,4840,466,mustard,6.87,2.0,GHG1T
306,7343,467,dish cleaner,4.14,1.0,2XXGI
307,7766,468,detergent,10.9,1.0,P0T3U
308,7452,470,cream,11.94,1.0,M3T80
309,8713,471,spices,8.07,2.0,3GTLH
310,8713,471,berries,2.76,1.0,09LL9
311,8713,471,berries,3.3,1.0,4ZFSH
312,5054,472,cream,10.25,1.0,2517R
313,6770,473,margarine,16.56,1.0,DP4O9
314,6770,473,chicken,176.85,3.0,KWULP
315,6770,473,chicken,11.49,3.0,L8OBL
316,6770,473,decalcifier,40.26,3.0,4MO0M
317,3600,474,mustard,6.87,1.0,DX9PK
318,8480,475,spices,8.6,3.0,BLH3I
319,8480,475,spices,14.57,2.0,FS0P8
320,8480,475,spices,9.2,2.0,1IX2L
321,8480,475,other vegetables,43.3,2.0,LJ26I
322,8480,475,other vegetables,26.1,2.0,9Y7M0
323,3372,476,preservation products,24.8,2.0,O2PIR
324,3372,476,preservation products,30.08,1.0,F3KBN
325,4744,477,cream,12.81,1.0,8ZYG2
326,843,478,abrasive cleaner,7.85,1.0,1OT2H
327,9439,480,other vegetables,43.3,2.0,LJ26I
328,3841,481,soda,3.53,1.0,0SQIM
329,3841,481,soda,55.34,1.0,4Z7NW
330,8257,482,mustard,1.54,1.0,B0AQH
331,8257,482,soda,24.51,3.0,SP2O7
332,8257,482,soda,197.44,1.0,7C9N2
333,8257,482,margarine,30.03,1.0,6CDBD
334,4956,485,detergent,6.62,1.0,5W8HC
335,8783,488,tropical fruit,8.62,8.0,PYX0M
336,7408,489,mustard,8.14,1.0,9R1GN
337,124,491,Instant food products,41.7,1.0,519IW
338,124,491,dessert,3.9,1.0,N0KQJ
339,124,491,pasta,19.21,1.0,ARZ2R
340,1934,492,flower soil/fertilizer,22.25,1.0,NIXNF
341,6857,493,other vegetables,21.03,2.0,MKREJ
342,6857,493,decalcifier,6.75,1.0,69PF4
343,6857,493,margarine,16.56,1.0,DP4O9
344,7304,495,house keeping products,4.43,1.0,WG7HI
345,2176,498,butter,11.21,2.0,8C752
346,2176,498,ketchup,9.9,1.0,CDW3A
347,2176,498,soda,5.87,1.0,TZYVQ
348,4908,499,abrasive cleaner,9.48,1.0,H0PL2
349,8410,502,detergent,7.15,1.0,7ZDL5
350,6915,504,detergent,2.43,1.0,IP6VW
351,6742,505,mustard,10.96,1.0,P9S1S
352,6742,505,dessert,3.62,1.0,7X6ZN
353,368,506,dish cleaner,9.63,1.0,L6L4O
354,3500,510,fruit/vegetable juice,6.35,1.0,536VK
355,8402,511,turkey,18.32,1.0,G1GTJ
356,5659,512,whisky,27.0,1.0,YO9TA
357,4948,514,cream,22.18,1.0,8KNYA
358,4948,514,canned fish,23.0,1.0,MQR37
359,2701,517,pork,5.13,2.0,32XWN
360,8983,518,dessert,11.58,3.0,W1ZMG
361,8983,518,butter,31.77,1.0,3YDVF
362,3665,520,dish cleaner,3.34,1.0,MRE4J
363,6304,523,dessert,13.17,2.0,7BXS6
364,6304,523,specialty fat,29.59,1.0,KK3R7
365,6304,523,pasta,9.75,1.0,GB9RX
366,8243,526,house keeping products,10.15,1.0,9VWB9
367,3855,527,pasta,3.48,1.0,S1CW9
368,3855,527,cocoa drinks,15.15,1.0,2WKBS
369,3855,527,canned beer,19.68,1.0,GT7VZ
370,5325,528,sugar,4.06,1.0,0A6IO
371,7211,532,margarine,11.48,1.0,5S43J
372,7211,532,soda,5.87,1.0,TZYVQ
373,3596,533,canned beer,11.43,1.0,RT6BT
374,6403,534,male cosmetics,12.08,1.0,6CFIU
375,5223,535,cream,10.25,1.0,2517R
376,4342,536,fruit/vegetable juice,10.98,1.0,M4TM4
377,8004,540,frozen vegetables,21.12,1.0,CB53D
378,653,541,dish cleaner,16.93,1.0,LRWG4
379,5535,542,other vegetables,10.52,1.0,MKREJ
380,5535,542,decalcifier,7.35,1.0,B32W0
381,5535,542,fruit/vegetable juice,28.12,2.0,CTN07
382,5535,542,margarine,21.81,3.0,HIR55
383,527,546,decalcifier,9.42,1.0,KIVTJ
384,6543,547,brandy,13.44,0.34,8OXUS
385,5159,548,butter,198.81,2.0,GA7VI
386,5159,548,berries,17.54,1.0,X59YE
387,5159,548,decalcifier,9.73,2.0,UO4JS
388,5159,548,margarine,15.75,3.0,W85U8
389,5159,548,decalcifier,7.94,2.0,AA3Y0
390,5159,548,other vegetables,26.1,2.0,9Y7M0
391,5159,548,margarine,30.03,1.0,6CDBD
392,2320,556,decalcifier,25.26,2.0,9LQGA
393,3767,557,chicken,18.64,1.0,GB2HW
394,1345,558,fruit/vegetable juice,5.32,1.0,E7DJL
395,3892,559,whisky,18.63,1.0,VV7N5
396,8641,566,pip fruit,6.63,1.0,EZ65T
397,3149,568,dish cleaner,7.29,1.0,7FGIM
398,3149,568,dessert,7.73,2.0,W1ZMG
399,1636,570,Instant food products,2.15,1.0,5TPXK
400,5016,572,dish cleaner,4.06,1.0,9TF6B
401,7860,574,detergent,10.43,1.0,U6GWD
402,7860,574,cream,12.32,1.0,NI9XF
403,4459,575,dessert,32.38,5.0,3DI47
404,17,576,margarine,7.67,2.0,J8DD7
405,5867,577,house keeping products,6.35,1.0,2NYLG
406,1950,584,margarine,30.03,1.0,6CDBD
407,3546,585,fruit/vegetable juice,3.82,1.0,V8L6W
408,3546,585,ready soups,8.5,1.0,89U3Y
409,373,598,fruit/vegetable juice,10.98,1.0,M4TM4
410,1252,599,fruit/vegetable juice,6.35,1.0,536VK
411,8491,605,cream,22.18,1.0,8KNYA
412,3340,607,spices,1.82,1.0,FJZC4
413,3340,607,margarine,19.52,3.0,ZZM1A
414,3340,607,berries,15.83,1.0,20XCP
415,8418,612,spices,4.37,1.0,7TRXD
416,8418,612,margarine,7.67,2.0,J8DD7
417,8130,615,salt,15.43,1.0,8J05K
418,3648,616,frozen vegetables,20.75,1.0,61YKF
419,6501,617,fruit/vegetable juice,5.32,1.0,E7DJL
420,1857,618,cream,6.38,1.0,3FFTG
421,2988,619,house keeping products,10.57,1.0,GQH4S
422,2820,622,margarine,41.56,1.0,NFEKU
423,2820,622,tidbits,32.84,2.0,YM5QP
424,6500,628,salt,15.67,1.0,P1T5K
425,3823,631,fruit/vegetable juice,6.38,1.0,A72X8
426,710,637,fruit/vegetable juice,3.82,1.0,V8L6W
427,710,637,fruit/vegetable juice,6.21,1.0,NPV8G
428,610,639,ready soups,12.96,1.0,N08KW
429,5633,642,rubbing alcohol,23.43,1.0,TJG4G
430,269,643,liquor,2.08,0.25,OUWHY
431,269,643,liquor,2.19,0.25,RMOC0
432,1820,644,dessert,172.5,1.0,5HXJF
433,9303,651,sugar,26.43,1.0,QSPOK
434,1217,653,pip fruit,10.62,1.0,NUVIV
435,9273,658,brandy,21.32,3.0,4AV34
436,614,659,salt,9.5,1.0,8AAB1
437,4373,662,detergent,11.46,1.0,7GQRJ
438,5678,666,dish cleaner,14.6,2.0,7FGIM
439,1317,667,detergent,11.65,1.0,07GHA
440,1728,676,canned vegetables,7.54,1.0,L5838
441,5392,677,skin care,4.86,1.0,AJVOG
442,5392,677,liqueur,6.06,1.0,1AORX
443,5392,677,dish cleaner,6.69,2.0,MRE4J
444,1862,680,dish cleaner,6.48,1.0,G5878
445,906,681,abrasive cleaner,13.1,1.0,8D73U
446,5378,683,margarine,7.27,2.0,YVZC5
447,5378,683,chicken,10.53,1.0,77QNY
448,5378,683,ketchup,6.27,2.0,Q9G2U
449,5378,683,cocoa drinks,15.15,1.0,2WKBS
450,5378,683,sparkling wine,21.27,1.0,1XV6A
451,9005,684,cream,22.18,1.0,8KNYA
452,1030,688,detergent,8.79,1.0,85P5R
453,5970,689,house keeping products,16.91,1.0,F79YP
454,5441,691,pasta,7.3,1.0,A9P11
455,4701,696,mustard,4.74,2.0,QD4DC
456,4701,696,brandy,14.64,2.0,MCN9Z
457,4703,698,dish cleaner,19.0,1.0,11H2S
458,3183,699,detergent,11.46,1.0,7GQRJ
459,3491,700,house keeping products,15.0,1.0,5O2CO
460,6675,701,margarine,3.5,2.0,KYTMX
461,6675,701,dish cleaner,8.69,1.0,LKDTY
462,6377,702,berries,13.61,2.0,YRULF
463,6377,702,skin care,5.78,1.0,SBD8R
464,6377,702,decalcifier,7.35,1.0,B32W0
465,6377,702,other vegetables,26.1,2.0,9Y7M0
466,1442,703,sausage,16.93,3.0,4ZXLR
467,2059,705,instant coffee,11.69,1.0,YIYJX
468,2059,705,instant coffee,44.37,1.0,RVRKP
469,8133,707,dessert,3.85,1.0,W1ZMG
470,2016,708,berries,2.76,1.0,09LL9
471,2526,711,mustard,13.32,1.0,LVV82
472,2526,711,dessert,3.62,1.0,7X6ZN
473,2526,711,cream,4.3,1.0,ZUN8X
474,5584,712,spices,17.97,2.0,GGYTB
475,5584,712,margarine,21.43,2.0,HCTMU
476,5584,712,pet care,12.87,1.0,DWJC4
477,153,713,cream,16.12,1.0,ERTYE
478,6152,714,decalcifier,5.94,2.0,1CJ28
479,6152,714,margarine,4.75,1.0,BMVO0
480,2274,719,dish cleaner,8.13,1.0,RIDZ4
481,4838,725,mustard,11.18,1.0,NN1XJ
482,4558,726,house keeping products,8.12,1.0,83SE2
483,8828,727,margarine,10.5,2.0,W85U8
484,8828,727,decalcifier,24.21,1.0,C395R
485,6705,729,dessert,13.17,2.0,7BXS6
486,6705,729,berries,2.96,1.0,7YEHP
487,8837,734,sauces,4.96,1.0,01IEO
488,3290,735,tropical fruit,34.37,90.0,BBC93
489,1910,736,berries,20.64,1.0,2VWI7
490,1910,736,berries,16.83,2.0,0CKHT
491,1910,736,berries,1.58,1.0,72EUE
492,7398,737,dish cleaner,6.68,2.0,MRE4J
493,3673,738,other vegetables,64.97,3.0,LJ26I
494,3673,738,spices,77.73,3.0,OJS5N
495,3673,738,chicken,15.96,3.0,5I93F
496,6635,739,fruit/vegetable juice,6.35,1.0,536VK
497,3563,741,house keeping products,6.75,1.0,4DJ5Q
498,8798,742,pasta,6.25,1.0,LI0IX
499,3244,743,other vegetables,5.5,1.0,0ZTQC
500,7446,746,berries,15.83,1.0,20XCP
501,7446,746,dish cleaner,3.34,1.0,MRE4J
502,3439,747,citrus fruit,3.57,1.0,RYK04
503,6902,749,UHT-milk,24.9,2.0,FD2FL
504,6902,749,margarine,30.03,1.0,6CDBD
505,7999,750,mustard,13.32,1.0,LVV82
506,5273,751,margarine,17.46,2.0,1EIY7
507,7301,754,detergent,9.98,1.0,07GHA
508,4206,755,pet care,12.87,1.0,DWJC4
509,949,756,fruit/vegetable juice,6.35,1.0,536VK
510,949,756,dish cleaner,8.88,1.0,GZOZ6
511,1341,758,pasta,19.21,1.0,ARZ2R
512,2275,759,skin care,8.8,2.0,4J10Q
513,3731,761,mustard,11.02,1.0,NSGRM
514,3731,761,mustard,8.98,1.0,U47J1
515,800,764,margarine,7.53,2.0,UJBMD
516,8055,766,margarine,8.1,1.0,BDD5Z
517,1995,767,canned beer,14.37,1.0,FF2YT
518,7218,768,margarine,18.57,2.0,PDW7Z
519,6247,772,preservation products,88.89,1.0,OB983
520,6247,772,decalcifier,4.21,3.0,XA9RG
521,6247,772,margarine,22.7,1.0,5NW77
522,6247,772,yogurt,12.13,2.0,C7BXU
523,8643,775,detergent,6.54,1.0,MGNU4
524,395,777,margarine,25.37,2.0,Q4CYW
525,395,777,decalcifier,10.23,1.0,2IA22
526,395,777,berries,15.83,1.0,20XCP
527,6125,779,cream,9.06,1.0,520UE
528,3928,782,ketchup,10.32,1.0,R12GW
529,576,783,instant coffee,33.63,1.0,NO6UB
530,3795,784,citrus fruit,11.37,3.0,IL1H8
531,2123,787,margarine,11.04,3.0,CYAX0
532,8764,788,decalcifier,6.75,1.0,R17GT
533,2579,789,flower soil/fertilizer,22.38,1.0,ULY8T
